"","iid","id","wave","partner","gender","pid","like","dec","age_diff","samerace","int_corr","income_diff","sat_diff","goal_diff","go_out_diff","imprace","imprelig","attr","sinc","intel","fun","amb","shar"
"1",1,1,1,1,0,11,7,1,6,0,0.14,-12907,200,0,-3,2,4,6,9,7,7,6,5
"2",1,1,1,10,0,20,6,1,3,0,-0.36,-32705,0,0,0,2,4,5,6,6,8,10,8
"3",1,1,1,4,0,14,7,1,2,0,0.61,-12907,120,0,0,2,4,7,6,8,7,6,8
"4",1,1,1,5,0,15,6,1,3,0,0.21,-32705,120,0,0,2,4,5,6,7,7,6,6
"5",1,1,1,6,0,16,6,0,4,0,0.25,-17477,-350,0,0,2,4,4,9,7,4,6,4
"6",1,1,1,7,0,17,6,1,9,0,0.34,-30939,-20,1,-1,2,4,7,6,7,4,6,7
"7",1,1,1,8,0,18,6,0,6,0,0.5,-17477,-243,0,0,2,4,4,9,7,6,5,6
"8",1,1,1,9,0,19,7,1,7,0,0.28,-12907,70,1,0,2,4,7,6,8,9,8,8
"9",10,10,1,1,0,11,6,0,1,1,0.3,7928,22,0,-3,4,4,6,10,10,6,6,5
"10",10,10,1,10,0,20,9,1,-2,1,0.08,7928,0,0,0,4,4,9,9,8,10,8,8
"11",10,10,1,2,0,12,1,0,-4,1,0.65,-19415,41,0,0,4,4,1,1,1,1,1,1
"12",10,10,1,3,0,13,7,1,-4,0,-0.15,7928,120,0,0,4,4,6,10,10,10,6,5
"13",10,10,1,4,0,14,10,0,-3,1,0.17,7928,366,0,0,4,4,10,10,10,10,10,10
"14",10,10,1,6,0,16,6,0,-1,1,0.15,3358,-90,0,0,4,4,5,10,6,4,6,5
"15",10,10,1,7,0,17,7,1,4,1,0.41,-10104,0,1,-1,4,4,5,10,8,6,9,7
"16",10,10,1,8,0,18,5,0,1,1,0.07,3358,50,0,0,4,4,5,6,6,4,5,5
"17",10,10,1,9,0,19,9,1,2,1,0.49,9349,188,1,0,4,4,9,9,9,9,9,9
"18",100,7,4,1,1,76,5,0,-4,0,0.51,-17343,340,0,0,8,9,4,7,8,7,7,4
"19",100,7,4,10,1,85,8,0,0,0,0.32,10101,91,0,-2,8,9,7,9,9,9,7,9
"20",100,7,4,11,1,86,8,1,8,0,0.32,2419,175,0,1,8,9,8,10,9,9,7,8
"21",100,7,4,12,1,87,6,1,7,0,0.38,37704,50,0,0,8,9,6,8,8,8,6,4
"22",100,7,4,14,1,89,8,0,3,0,0.13,26159,-29,0,-1,8,9,9,8,8,9,8,7
"23",100,7,4,15,1,90,4,0,7,0,0.31,-29300,-19,0,-5,8,9,8,7,7,2,4,2
"24",100,7,4,16,1,91,9,1,5,1,0.43,-53296,103,0,0,8,9,9,7,9,9,9,8
"25",100,7,4,18,1,93,8,1,1,0,0.17,-1138,175,0,1,8,9,8,9,10,10,8,7
"26",100,7,4,2,1,77,5,0,8,0,0.45,-28905,-110,0,0,8,9,8,7,6,5,5,4
"27",100,7,4,3,1,78,7,1,7,0,0.38,-27233,46,0,-1,8,9,8,8,7,7,8,8
"28",100,7,4,4,1,79,6,0,4,0,0.56,-5988,140,0,1,8,9,4,8,8,8,6,4
"29",100,7,4,6,1,81,8,1,2,0,0.65,-27233,70,-1,0,8,9,9,8,9,9,9,8
"30",100,7,4,7,1,82,7,0,5,1,0.43,-17343,103,0,0,8,9,6,9,9,8,8,7
"31",100,7,4,8,1,83,6,0,-5,0,0.58,-4360,-243,0,1,8,9,5,9,8,8,8,6
"32",100,7,4,9,1,84,6,0,-2,0,0.62,-17343,-40,0,1,8,9,5,8,9,8,7,5
"33",101,8,4,10,1,85,7,1,-8,0,0.18,-3340,-30,-1,-1,3,2,7,7,7,8,7,7
"34",101,8,4,11,1,86,9,1,0,0,-0.13,13676,-275,-1,2,3,2,9,8,8,9,7,6
"35",101,8,4,13,1,88,7,0,-1,0,-0.46,85670,-280,-1,-1,3,2,8,8,8,7,7,7
"36",101,8,4,15,1,90,6,1,-1,1,0.08,-13693,-60,-1,-4,3,2,6,9,9,6,8,6
"37",101,8,4,17,1,92,8,1,-7,0,0.16,-15658,-212,-2,2,3,2,9,8,8,7,7,6
"38",101,8,4,18,1,93,9,1,-7,0,0.05,-15658,-272,-1,2,3,2,9,8,8,8,7,7
"39",101,8,4,2,1,77,6,0,0,0,-0.21,-1046,-109,-1,1,3,2,7,6,6,5,5,5
"40",101,8,4,3,1,78,6,0,-1,0,-0.13,32206,-50,-1,0,3,2,7,7,6,5,5,6
"41",101,8,4,4,1,79,7,1,-4,1,0.35,-13693,0,-1,2,3,2,6,8,8,6,8,6
"42",101,8,4,5,1,80,7,1,-5,1,-0.35,9768,0,-1,-1,3,2,6,8,7,6,8,6
"43",101,8,4,6,1,81,7,1,-6,0,0.04,1635,-280,-2,1,3,2,8,8,7,7,7,6
"44",101,8,4,8,1,83,8,1,-13,0,0.17,-3910,-30,-1,2,3,2,8,8,8,7,7,6
"45",101,8,4,9,1,84,8,1,-10,0,0.17,-19950,21,-1,2,3,2,8,9,8,7,8,6
"46",102,9,4,1,1,76,8,1,-2,1,0.02,-3340,-50,0,2,2,6,5,7,8,10,6,9
"47",102,9,4,10,1,85,4,0,2,1,-0.08,7537,-60,0,0,2,6,5,6,7,2,7,3
"48",102,9,4,11,1,86,7,1,10,1,-0.28,19255,-60,0,3,2,6,6,8,8,8,8,5
"49",102,9,4,12,1,87,7,1,9,1,0.42,-14597,-142,0,2,2,6,8,6,6,7,4,3
"50",102,9,4,14,1,89,3,0,5,1,-0.35,-13517,20,0,1,2,6,3,7,7,1,3,2
"51",102,9,4,15,1,90,4,0,9,0,0.22,-11757,0,0,-3,2,6,3,7,7,2,2,2
"52",102,9,4,16,1,91,8,1,7,0,-0.21,-36215,0,0,2,2,6,7,7,8,8,10,7
"53",102,9,4,17,1,92,7,1,3,1,0.12,-31207,0,-1,3,2,6,7,8,8,6,8,7
"54",102,9,4,18,1,93,6,1,3,1,-0.15,26186,-160,0,3,2,6,7,7,7,6,6,5
"55",102,9,4,2,1,77,5,0,10,1,0,19484,30,0,2,2,6,4,5,6,6,6,6
"56",102,9,4,3,1,78,5,0,9,0,0.07,-21831,-160,0,1,2,6,5,5,6,3,6,5
"57",102,9,4,4,1,79,4,0,6,0,-0.15,-21831,-131,0,3,2,6,4,4,4,4,6,3
"58",102,9,4,5,1,80,10,1,5,0,0.06,-10956,-30,0,0,2,6,10,9,8,7,7,10
"59",102,9,4,6,1,81,9,1,4,1,0.11,-46576,-60,-1,2,2,6,10,9,7,8,8,9
"60",102,9,4,7,1,82,7,1,7,0,-0.01,14773,-154,0,2,2,6,6,5,8,9,8,5
"61",102,9,4,8,1,83,9,1,-3,0,-0.18,-34484,-49,0,3,2,6,10,9,8,8,5,6
"62",102,9,4,9,1,84,7,1,0,0,0.1,32261,-20,0,3,2,6,9,8,7,5,5,4
"63",103,10,4,1,1,76,7,0,-8,1,-0.05,-17343,-100,0,-1,8,9,6,8,9,7,7,7
"64",103,10,4,10,1,85,7,0,-4,1,0.12,-29961,170,0,-3,8,9,6,7,8,8,7,7
"65",103,10,4,11,1,86,7,0,4,1,0.13,-327,190,0,0,8,9,6,7,7,7,7,6
"66",103,10,4,12,1,87,8,1,3,1,0.62,-9384,-142,0,-1,8,9,8,7,7,7,7,8
"67",103,10,4,14,1,89,7,1,-1,1,-0.19,-29961,158,0,-2,8,9,8,7,8,7,8,5
"68",103,10,4,15,1,90,5,0,3,0,-0.05,-24577,-50,0,-6,8,9,6,7,8,5,5,5
"69",103,10,4,17,1,92,6,0,-3,1,0.2,-33953,10,-1,0,8,9,6,6,6,6,6,6
"70",103,10,4,18,1,93,7,0,-3,1,-0.06,-327,-30,0,0,8,9,6,7,7,8,7,6
"71",103,10,4,2,1,77,6,0,4,1,0.15,-9384,102,0,-1,8,9,6,7,7,7,7,5
"72",103,10,4,3,1,78,6,0,3,0,0.21,-24577,20,0,-2,8,9,6,7,6,6,6,6
"73",103,10,4,4,1,79,6,0,0,0,-0.18,-24577,0,0,0,8,9,5,7,8,6,7,6
"74",103,10,4,5,1,80,6,0,-1,0,0.38,-24577,-92,0,-3,8,9,7,8,8,6,7,6
"75",103,10,4,6,1,81,8,1,-2,1,0.2,-27233,190,-1,-1,8,9,8,8,8,8,8,8
"76",103,10,4,7,1,82,5,0,1,0,0.06,-28905,-60,0,-1,8,9,6,7,6,6,6,3
"77",103,10,4,9,1,84,7,0,-6,0,0.1,-29961,150,0,0,8,9,7,7,9,8,8,7
"78",104,11,4,10,1,85,6,0,-3,1,0.56,-1093,0,0,-1,6,8,6,8,6,6,5,5
"79",104,11,4,11,1,86,7,1,5,1,0.14,28541,150,0,2,6,8,7,7,7,8,7,6
"80",104,11,4,12,1,87,6,0,4,1,0.59,82349,-270,0,1,6,8,7,6,6,6,6,5
"81",104,11,4,13,1,88,6,0,4,1,0.08,82349,-60,0,-1,6,8,6,6,6,6,6,5
"82",104,11,4,14,1,89,7,1,0,1,0.56,28541,0,0,0,6,8,7,7,7,6,7,6
"83",104,11,4,15,1,90,10,0,4,0,0.05,-3964,-142,0,-4,6,8,10,10,10,10,10,10
"84",104,11,4,16,1,91,7,0,2,0,0.33,13727,-50,0,1,6,8,8,7,7,6,8,6
